kappa,theta,sigma,price_euler1000,ci_euler1000,time_euler1000,price_euler30,ci_euler30,time_euler30,price_exact1000,ci_exact1000,time_exact1000,price_exact30,ci_exact30,time_exact30,price_ae1000,ci_ae1000,time_ae1000,price_ae30,ci_ae30,time_ae30
10.000,0.100,0.100,0.125249,0.000861,5.079,0.126208,0.000864,0.190,0.125631,0.000866,233.163,0.125776,0.000865,17.521,0.125860,0.000870,235.867,0.125612,0.000866,17.981
10.000,0.100,0.300,0.126211,0.000889,5.549,0.126216,0.000884,0.207,0.133293,0.000920,528.073,0.126212,0.000890,10.733,0.133189,0.000919,523.241,0.125606,0.000883,10.742
10.000,0.100,0.500,0.125694,0.000906,4.938,0.126614,0.000904,0.188,0.129020,0.000923,523.828,0.125902,0.000909,4.494,0.128904,0.000930,520.442,0.125905,0.000906,4.389
10.000,0.100,0.700,0.125415,0.000932,4.946,0.125849,0.000927,0.199,0.126447,0.000938,522.206,0.125930,0.000934,4.365,0.126766,0.000942,520.348,0.124718,0.000933,4.239
10.000,0.100,1.000,0.125007,0.000967,4.951,0.127516,0.000974,0.206,0.125759,0.000975,517.899,0.125913,0.000971,4.319,0.125393,0.000971,518.459,0.124893,0.000965,4.210
10.000,0.200,0.100,0.173014,0.001282,5.034,0.173562,0.001273,0.199,0.171577,0.001278,233.827,0.170607,0.001275,17.659,0.170506,0.001274,237.201,0.126477,0.001074,18.091
10.000,0.200,0.300,0.172964,0.001312,5.376,0.173624,0.001303,0.202,0.176050,0.001324,601.750,0.172098,0.001305,15.095,0.175647,0.001317,595.448,0.155181,0.001233,15.159
10.000,0.200,0.500,0.172624,0.001334,4.942,0.173451,0.001318,0.189,0.180268,0.001374,528.323,0.171503,0.001331,4.600,0.181551,0.001382,522.480,0.161426,0.001284,4.573
10.000,0.200,0.700,0.173909,0.001371,4.948,0.175312,0.001367,0.188,0.176577,0.001386,529.344,0.172962,0.001363,4.499,0.176567,0.001386,519.136,0.165529,0.001334,4.358
10.000,0.200,1.000,0.172782,0.001412,4.950,0.174641,0.001397,0.194,0.174849,0.001428,527.064,0.172517,0.001411,4.389,0.174820,0.001429,518.552,0.166839,0.001383,4.227
10.000,0.500,0.100,0.266151,0.002367,4.945,0.265500,0.002297,0.191,0.265955,0.002335,235.698,0.257511,0.002292,17.713,0.259379,0.002320,238.086,0.106562,0.001346,18.133
10.000,0.500,0.300,0.265238,0.002362,5.667,0.268828,0.002374,0.217,0.267150,0.002409,240.209,0.263130,0.002389,16.793,0.265382,0.002388,246.079,0.199510,0.001998,17.136
10.000,0.500,0.500,0.267657,0.002441,5.518,0.266777,0.002379,0.202,0.276638,0.002476,648.976,0.264937,0.002439,14.488,0.275691,0.002473,644.131,0.223155,0.002190,14.504
10.000,0.500,0.700,0.267966,0.002471,4.949,0.272669,0.002488,0.190,0.280604,0.002573,525.396,0.267606,0.002489,7.538,0.281476,0.002566,524.503,0.235084,0.002280,7.579
10.000,0.500,1.000,0.267054,0.002558,4.948,0.268752,0.002515,0.195,0.275267,0.002605,526.913,0.268845,0.002576,4.575,0.277081,0.002605,519.329,0.242855,0.002367,4.419
